neuron_id,layer,pearson_correlation
55,2,0.248936217
55,3,0.445826123
55,4,0.514441769
55,5,0.370729998
55,6,0.471133922
55,7,0.340887181
55,8,0.429892253
55,9,0.317749359
55,10,0.350314378
55,11,0.286401077
55,12,0.151012559
56,1,0.36076091
56,2,0.053158745
56,3,0.086530789
56,4,0.400990415
56,5,0.150935397
56,6,0.605587902
56,7,0.124258316
56,8,0.279767288
56,9,0.520845435
56,10,0.550504096
56,11,0.483604193
56,12,0.683276676
57,1,0.505213168
57,2,0.514957776
57,3,-0.524842122
57,4,-0.208902959
57,5,-0.281266879
57,6,-0.654791817
57,7,-0.677666838
57,8,0.361805588
57,9,-0.66508468
57,10,-0.490690561
57,11,-0.068886302
57,12,0.459611318
58,1,0.567137858
58,2,0.446995562
58,3,0.449011356
58,4,0.203492554
58,5,0.38403571
58,6,0.455804309
58,7,-0.050167364
58,8,0.26256163
58,9,-0.55604228
58,10,0.264471422
58,11,-0.434123762
58,12,-0.127017336
59,1,0.382517007
59,2,-0.525991898
59,3,0.010539981
59,4,-0.320538435
59,5,-0.265796645
59,6,-0.627759519
59,7,-0.628825563
59,8,-0.282594374
59,9,-0.453384308
59,10,0.1129716
59,11,-0.441265358
59,12,-0.804960579
60,1,-0.771643305
60,2,0.079307881
60,3,-0.221007652
60,4,0.725085546
60,5,-0.286882495
60,6,0.635164013
60,7,0.209392693
60,8,-0.114715416
60,9,-0.232828179
60,10,-0.179840552
60,11,0.199588596
60,12,0.126241564
61,1,-0.121442296
61,2,-0.303267197
61,3,-0.021918038
61,4,0.024731878
61,5,0.197260674
61,6,-0.42626927
61,7,0.503404628
61,8,0.347627652
61,9,0.378303734
61,10,0.168059303
61,11,0.367643576
61,12,0.774920499
62,1,0.018851069
62,2,0.252239425
62,3,0.273348178
62,4,0.394514417
62,5,-0.240730705
62,6,-0.287957002
62,7,0.021920068
62,8,-0.642289379
62,9,0.620373564
62,10,0.42237203
62,11,-0.075221273
62,12,-0.397332862
63,1,-0.40640438
63,2,-0.314601955
63,3,-0.028083838
63,4,0.193309575
63,5,0.52135125
63,6,0.163013236
63,7,0.628308603
63,8,-0.676750126
63,9,-0.378334135
63,10,-0.20169672
63,11,-0.080945119
63,12,0.276759622
64,1,-0.113277669
64,2,0.563094939
64,3,-0.626640368
64,4,0.625116407
64,5,0.34496897
64,6,-0.470280926
64,7,-0.173070222
64,8,-0.566549397
64,9,-0.047546871
64,10,0.45784488
64,11,-0.114120171
64,12,0.15906835
65,1,0.331007258
65,2,-0.050244801
65,3,-0.344104132
65,4,-0.340639651
65,5,-0.454276229
65,6,-0.469823938
65,7,-0.487115357
65,8,-0.45092744
65,9,-0.454791881
65,10,-0.40083842
65,11,-0.454778732
65,12,0.673580503
66,1,0.67686448
66,2,-0.3381833
66,3,0.24102682
66,4,0.44282494
66,5,0.531973359
66,6,0.080103913
66,7,0.473576544
66,8,0.180649972
66,9,0.533366728
66,10,0.489880912
66,11,0.136670585
66,12,0.435140293
67,1,-0.320129191
67,2,-0.077133702
67,3,-0.682967771
67,4,-0.512161366
67,5,-0.6695242
67,6,-0.610269452
67,7,-0.527601649
67,8,-0.282027548
67,9,0.280010572
67,10,-0.438411751
67,11,0.648518447
67,12,0.395617699
68,1,0.471119885
68,2,0.379444525
68,3,0.315294477
68,4,0.308936048
68,5,0.372944295
68,6,0.350398713
68,7,0.418915267
68,8,0.23279614
68,9,0.315981837
68,10,0.269528747
68,11,0.258758691
68,12,0.67030678
69,1,-0.546354511
69,2,-0.544716177
69,3,-0.563952224
69,4,0.313180425
69,5,0.031696142
69,6,0.079793383
69,7,0.102517931
69,8,-0.656128502
69,9,-0.20423411
69,10,-0.651307044
69,11,-0.828770642
69,12,-0.500649492
