neuron_id,layer,pearson_correlation
34,5,-0.078406317
34,6,-0.616675505
34,7,-0.483524559
34,8,-0.203394251
34,9,0.333129319
34,10,0.641491308
34,11,-0.400354296
34,12,-0.212530787
35,1,-0.523309278
35,2,-0.120390849
35,3,-0.030246604
35,4,-0.112663665
35,5,-0.307718412
35,6,0.429241378
35,7,0.011593709
35,8,0.053088797
35,9,0.354902751
35,10,0.480755048
35,11,0.538674568
35,12,0.0014014
36,1,-0.143221649
36,2,-0.586337112
36,3,-0.409490143
36,4,-0.469353214
36,5,-0.379495077
36,6,-0.39871018
36,7,-0.478402546
36,8,-0.095336406
36,9,-0.608042647
36,10,-0.322123829
36,11,-0.485246547
36,12,-0.213650781
37,1,0.56959999
37,2,0.326799033
37,3,0.380086392
37,4,0.287504099
37,5,0.50159081
37,6,0.42403877
37,7,0.322266054
37,8,0.605526777
37,9,0.456462321
37,10,0.543125661
37,11,0.666420359
37,12,0.201187194
38,1,-0.506294079
38,2,0.393450726
38,3,-0.558627902
38,4,-0.103373777
38,5,-0.598412663
38,6,0.277898756
38,7,0.45562064
38,8,-0.293452261
38,9,0.502888302
38,10,-0.671309095
38,11,-0.023453312
38,12,0.490449161
39,1,0.570080142
39,2,0.690181268
39,3,0.419106933
39,4,0.30548208
39,5,-0.622413429
39,6,0.30203243
39,7,0.104791668
39,8,0.559197929
39,9,-0.313558433
39,10,0.293719268
39,11,-0.494570238
39,12,0.56226479
40,1,0.174405227
40,2,0.608072262
40,3,0.306044551
40,4,-0.165757777
40,5,-0.088820458
40,6,-0.582840376
40,7,-0.296048687
40,8,-0.106420842
40,9,0.094902482
40,10,-0.447520498
40,11,-0.400972076
40,12,0.130269209
41,1,0.043117572
41,2,-0.222852483
41,3,-0.589075426
41,4,-0.334789935
41,5,-0.789893181
41,6,-0.317538066
41,7,-0.289984222
41,8,0.202885326
41,9,0.218717872
41,10,-0.040418666
41,11,0.471602715
41,12,0.635328172
42,1,0.566446955
